id,mom_speak,sex,group,log_mom,age,vocab,age_12,age_12_sq
1,694,0,0,6.542,12,1,0,0
1,694,0,0,6.542,16,13,4,16
1,694,0,0,6.542,18,34,6,36
1,694,0,0,6.542,20,47,8,64
1,694,0,0,6.542,22,90,10,100
1,694,0,0,6.542,24,139,12,144
1,694,0,0,6.542,26,205,14,196
2,4485,0,0,8.408,12,1,0,0
2,4485,0,0,8.408,14,6,2,4
2,4485,0,0,8.408,16,46,4,16
2,4485,0,0,8.408,18,133,6,36
2,4485,0,0,8.408,20,188,8,64
2,4485,0,0,8.408,22,355,10,100
2,4485,0,0,8.408,24,449,12,144
2,4485,0,0,8.408,26,505,14,196
3,1445,0,0,7.276,12,1,0,0
3,1445,0,0,7.276,16,10,4,16
3,1445,0,0,7.276,18,26,6,36
3,1445,0,0,7.276,20,43,8,64
3,1445,0,0,7.276,22,77,10,100
3,1445,0,0,7.276,24,142,12,144
3,1445,0,0,7.276,26,224,14,196
4,2969,0,0,7.996,12,1,0,0
4,2969,0,0,7.996,16,37,4,16
4,2969,0,0,7.996,18,109,6,36
4,2969,0,0,7.996,20,276,8,64
4,2969,0,0,7.996,22,469,10,100
4,2969,0,0,7.996,24,579,12,144
4,2969,0,0,7.996,26,683,14,196
5,5008,0,0,8.519,12,1,0,0
5,5008,0,0,8.519,14,5,2,4
5,5008,0,0,8.519,16,7,4,16
5,5008,0,0,8.519,18,47,6,36
5,5008,0,0,8.519,20,100,8,64
5,5008,0,0,8.519,22,217,10,100
5,5008,0,0,8.519,24,317,12,144
5,5008,0,0,8.519,26,425,14,196
6,2549,0,0,7.843,12,1,0,0
6,2549,0,0,7.843,16,9,4,16
6,2549,0,0,7.843,18,11,6,36
6,2549,0,0,7.843,20,19,8,64
6,2549,0,0,7.843,22,41,10,100
6,2549,0,0,7.843,24,78,12,144
6,2549,0,0,7.843,26,209,14,196
7,7094,1,0,8.867,12,1,0,0
7,7094,1,0,8.867,16,44,4,16
7,7094,1,0,8.867,18,118,6,36
7,7094,1,0,8.867,20,272,8,64
7,7094,1,0,8.867,22,463,10,100
7,7094,1,0,8.867,24,577,12,144
7,7094,1,0,8.867,26,785,14,196
8,3367,1,0,8.122,12,1,0,0
8,3367,1,0,8.122,16,36,4,16
8,3367,1,0,8.122,18,80,6,36
8,3367,1,0,8.122,20,245,8,64
8,3367,1,0,8.122,22,313,10,100
8,3367,1,0,8.122,24,491,12,144
8,3367,1,0,8.122,26,579,14,196
9,3112,1,0,8.043,12,1,0,0
9,3112,1,0,8.043,14,4,2,4
9,3112,1,0,8.043,16,50,4,16
9,3112,1,0,8.043,18,185,6,36
9,3112,1,0,8.043,20,309,8,64
9,3112,1,0,8.043,22,426,10,100
9,3112,1,0,8.043,24,595,12,144
9,3112,1,0,8.043,26,706,14,196
10,3715,1,0,8.22,12,1,0,0
10,3715,1,0,8.22,14,5,2,4
10,3715,1,0,8.22,16,22,4,16
10,3715,1,0,8.22,18,120,6,36
10,3715,1,0,8.22,20,311,8,64
10,3715,1,0,8.22,22,465,10,100
10,3715,1,0,8.22,24,604,12,144
10,3715,1,0,8.22,26,715,14,196
11,3094,1,0,8.037,12,1,0,0
11,3094,1,0,8.037,14,1,2,4
11,3094,1,0,8.037,16,6,4,16
11,3094,1,0,8.037,18,14,6,36
11,3094,1,0,8.037,20,55,8,64
11,3094,1,0,8.037,22,93,10,100
11,3094,1,0,8.037,24,137,12,144
11,3094,1,0,8.037,26,185,14,196
12,3169,1,1,8.061,12,1,0,0
12,3169,1,1,8.061,16,14,4,16
12,3169,1,1,8.061,20,136,8,64
12,3169,1,1,8.061,24,350,12,144
13,2122,0,1,7.66,12,1,0,0
13,2122,0,1,7.66,16,9,4,16
13,2122,0,1,7.66,20,51,8,64
13,2122,0,1,7.66,24,149,12,144
14,3459,0,1,8.149,12,1,0,0
14,3459,0,1,8.149,16,7,4,16
14,3459,0,1,8.149,20,9,8,64
14,3459,0,1,8.149,24,56,12,144
15,1829,1,1,7.512,12,1,0,0
15,1829,1,1,7.512,16,36,4,16
15,1829,1,1,7.512,20,98,8,64
15,1829,1,1,7.512,24,188,12,144
16,2124,0,1,7.661,12,1,0,0
16,2124,0,1,7.661,16,19,4,16
16,2124,0,1,7.661,20,95,8,64
16,2124,0,1,7.661,24,172,12,144
17,3732,1,1,8.225,12,1,0,0
17,3732,1,1,8.225,16,17,4,16
17,3732,1,1,8.225,20,75,8,64
17,3732,1,1,8.225,24,240,12,144
18,2240,1,1,7.714,12,1,0,0
18,2240,1,1,7.714,16,14,4,16
18,2240,1,1,7.714,20,65,8,64
18,2240,1,1,7.714,24,292,12,144
19,2064,0,1,7.632,12,1,0,0
19,2064,0,1,7.632,16,12,4,16
19,2064,0,1,7.632,20,49,8,64
19,2064,0,1,7.632,24,99,12,144
20,2076,0,1,7.638,12,1,0,0
20,2076,0,1,7.638,16,10,4,16
20,2076,0,1,7.638,20,68,8,64
20,2076,0,1,7.638,24,142,12,144
21,6229,0,1,8.737,12,1,0,0
21,6229,0,1,8.737,16,26,4,16
21,6229,0,1,8.737,20,66,8,64
21,6229,0,1,8.737,24,265,12,144
22,6809,1,1,8.826,12,1,0,0
22,6809,1,1,8.826,16,29,4,16
22,6809,1,1,8.826,20,173,8,64
22,6809,1,1,8.826,24,329,12,144
